poem_name	poem
sonnet ci	o truant muse shall thi amend thi neglect truth beauti dy truth beauti love depend ; dost thou therein dignifi make answer muse wilt thou hapli say truth need colour colour fixd ; beauti pencil beauti truth lay ; best best never intermixd need prais wilt thou dumb excus silenc ; fort lie thee make much outliv gild tomb prais age yet thi offic muse ; teach thee make seem long henc show
sonnet cii	love strengthend though weak seem ; love less though less show appear love merchand whose rich esteem owner tongu doth publish everi love new spring wont greet lay philomel summer front doth sing stop pipe growth riper day summer less pleasant mourn hymn hush night wild music burthen everi bough sweet grown common lose dear delight therefor like sometim hold tongu would dull song
sonnet ciii	alack poverti muse bring forth scope show pride argument bare worth hath ad prais besid o blame write look glass appear face - goe blunt invent quit dull line disgrac sin strive mend mar subject well pass vers tend grace gift tell ; much vers sit glass show look
sonnet civ	fair friend never old first eye eye seem beauti still three winter cold forest shook three summer pride three beauteou spring yellow autumn turnd process season seen three april perfum three hot june burnd sinc first saw fresh yet green ah yet doth beauti like dial - hand steal figur pace perceiv ; sweet hue methink still doth stand hath motion mine eye may deceiv fear hear thou age unbr ; ere born beauti summer dead
sonnet cv	let love calld idolatri belov idol show sinc alik song prais one one still ever kind love - day - morrow kind still constant wondrou excel ; therefor vers constanc confin one thing express leav differ fair kind true argument fair kind true vari word ; chang invent spent three theme one wondrou scope afford fair kind true often live alon three till never kept seat one
sonnet cvi	chronicl wast time see descript fairest wight beauti make beauti old rhyme prais ladi dead love knight blazon sweet beauti best hand foot lip eye brow see antiqu pen would expressd even beauti master prais propheci time prefigur ; lookd divin eye skill enough worth sing behold present day eye wonder lack tongu prais
sonnet cvii	mine fear prophet soul wide world dream thing come yet leas true love control suppos forfeit confin doom mortal moon hath eclips endur sad augur mock presag ; incertainti crown assur peac proclaim oliv endless age drop balmi time love look fresh death subscrib sinc spite ill live poor rhyme insult oer dull speechless tribe thou shalt find thi monument tyrant crest tomb brass spent
sonnet cviii	what brain ink may charact hath figur thee true spirit what new speak new regist may express love thi dear merit noth sweet boy ; yet like prayer divin must day say oer count old thing old thou mine thine even first hallowd thi fair name etern love love fresh case weigh dust injuri age give necessari wrinkl place make antiqu aye page find first conceit love bred time outward form would show dead
sonnet cix	o never say fals heart though absenc seemd flame qualifi easi might depart soul thi breast doth lie home love rang like travel return time time exchang bring water stain never believ though natur reignd frailti besieg kind blood could preposter staind leav noth thi sum good ; noth wide univers call save thou rose ; thou art
sonnet cx	ala ti true gone made motley view gore mine thought sold cheap dear made old offenc affect new ; true lookd truth askanc strang blench gave heart anoth youth wors essay prove thee best love done shall end mine appetit never grind newer proof tri older friend god love confin give welcom next heaven best even thi pure love breast
sonnet cxi	o sake fortun chide guilti goddess harm deed better life provid public mean public manner breed thenc come name receiv brand almost thenc natur subdu work like dyer hand piti wish renewd ; whilst like will patient drink potion eisel gainst strong infect bitter bitter think doubl penanc correct correct piti dear friend assur ye even piti enough cure
sonnet cxii	love piti doth impress fill vulgar scandal stampd upon brow ; care call well ill oer - green bad good allow world must strive know shame prais tongu none els none aliv steeld sens chang right wrong profound abysm throw care other voic adder sens critic flatter stop mark neglect dispens strongli purpos bred world besid methink dead
sonnet cxiii	sinc left mine eye mind ; govern go doth part function partli blind seem see effectu ; form deliv heart bird flower shape doth latch quick object hath mind part vision hold doth catch see rudest gentlest sight sweet favour deformedst creatur mountain sea day night crow dove shape featur incap replet true mind thu make mine eye untru
sonnet cxiv	whether doth mind crownd drink monarch plagu flatteri whether shall say mine eye saith true love taught alchemi make monster thing indigest cherubin sweet self resembl creat everi bad perfect best fast object beam assembl oti first ; ti flatteri see great mind kingli drink mine eye well know gust gree palat doth prepar cup poisond ti lesser sin mine eye love doth first begin
sonnet cxv	line writ lie even said could love dearer yet judgment knew reason full flame afterward burn clearer reckon time whose milliond accid creep twixt vow chang decre king tan sacr beauti blunt sharpst intent divert strong mind cours alter thing ; ala fear time tyranni might say love best certain oer incertainti crown present doubt rest love babe ; might say give full growth still doth grow
sonnet cxvi	let marriag true mind admit impedi love love alter alter find bend remov remov o ever - fix mark look tempest never shaken ; star everi wander bark whose worth unknown although height taken love time fool though rosi lip cheek within bend sickl compass come love alter brief hour week bear even edg doom error upon prove never writ man ever love
sonnet cxvii	accus thu scant wherein great desert repay forgot upon dearest love call whereto bond tie day day ; frequent unknown mind given time dear - purchas right hoist sail wind transport farthest sight book wil error proof surmis accumul ; bring within level frown shoot wakend hate ; sinc appeal say strive prove constanc virtu love
sonnet cxviii	like make appetit keen eager compound palat urg prevent maladi unseen sicken shun sick purg even tuff neer - cloy sweet bitter sauc frame feed sick welfar found kind meet diseas ere true need thu polici love anticip ill grew fault assur brought medicin health state rank good would ill cure thenc learn find lesson true drug poison fell sick
sonnet cxix	potion drunk siren tear distilld limbeck foul hell within appli fear hope hope fear still lose saw win wretch error hath heart commit whilst hath thought bless never mine eye sphere fit distract mad fever o benefit ill find true better evil still made better ; ruind love built anew grow fairer first strong far greater return rebuk content gain ill thrice spent
sonnet cxx	unkind befriend sorrow feel need must transgress bow unless nerv brass hammerd steel unkind shaken youv passd hell time tyrant leisur taken weigh suffer crime o night woe might rememberd deepest sens hard true sorrow hit soon tenderd humbl slave wound bosom fit trespass becom fee ; mine ransom must ransom
sonnet cxxi	ti better vile vile esteemd receiv reproach pleasur lost deemd feel other see other fals adulter eye give salut sportiv blood frailti frailer spi will count bad think good level abus reckon may straight though bevel ; rank thought deed must shown ; unless gener evil maintain men bad bad reign
sonnet cxxii	thi gift thi tabl within brain full characterd last memori shall idl rank remain beyond date even etern ; least long brain heart faculti natur subsist ; till raze oblivion yield part thee thi record never missd poor retent could much hold need talli thi dear love score ; therefor give bold trust tabl receiv thee keep adjunct rememb thee import forget
sonnet cxxiii	time thou shalt boast chang thi pyramid built newer might noth novel noth strang ; dress former sight date brief therefor admir thou dost foist upon us old rather make born desir think heard told thi regist thee defi wonder present past thi record see doth lie made less thi continu hast vow shall ever ; true despit thi scyth thee
sonnet cxxiv	dear love child state might fortun bastard unfatherd subject time love time hate weed among weed flower flower gatherd build far accid ; suffer smile pomp fall blow thrall discont whereto invit time fashion call fear polici heret work leas short - numberd hour alon stand huge polit grow heat drown shower wit call fool time die good live crime
sonnet cxxv	aught bore canopi extern outward honour laid great base etern prove short wast ruin seen dweller form favour lose pay much rent compound sweet forgo simpl savour piti thriver gaze spent let obsequi thi heart take thou oblat poor free mixd second know art mutual render thee henc thou subornd inform true soul impeachd stand least thi control
sonnet cxxvi	o thou love boy thi power dost hold time fickl glass sickl hour ; hast wane grown therein showst thi lover wither thi sweet self growst ; natur sovereign mistress wrack thou goest onward still pluck thee back keep thee purpos skill may time disgrac wretch minut kill yet fear o thou minion pleasur may detain still keep treasur audit though delayd answerd must quietu render thee
sonnet cxxvii	old age black count fair bore beauti name ; black beauti success heir beauti slanderd bastard shame sinc hand hath put natur power fair foul art fals borrowd face sweet beauti hath name holi bower profan live disgrac therefor mistress brow raven black eye suit mourner seem born fair beauti lack slander creation fals esteem yet mourn becom woe everi tongu say beauti look
sonnet cxxviii	oft thou music music playst upon bless wood whose motion sound thi sweet finger thou gentli swayst wiri concord mine ear confound envi jack nimbl leap kiss tender inward thi hand whilst poor lip harvest reap wood bold thee blush stand tickl would chang state situat danc chip oer thi finger walk gentl gait make dead wood blest live lip sinc sauci jack happi give thi finger thi lip kiss
sonnet cxxix	expens spirit wast shame lust action ; till action lust perjur murder bloodi full blame savag extrem rude cruel trust enjoyd sooner despis straight past reason hunt sooner past reason hate swallowd bait purpos laid make taker mad ; mad pursuit possess ; quest extrem ; bliss proof prove woe ; joy propos ; behind dream world well know ; yet none know well shun heaven lead men hell
sonnet cxxx	mistress eye noth like sun ; coral far red lip red ; snow white breast dun ; hair wire black wire grow head seen rose damaskd red white rose see cheek ; perfum delight breath mistress reek love hear speak yet well know music hath far pleas sound ; grant never saw goddess go ; mistress walk tread ground yet heaven think love rare beli fals compar
sonnet cxxxi	thou art tyrann thou art whose beauti proudli make cruel ; well thou knowst dear dote heart thou art fairest preciou jewel yet good faith say thee behold thi face hath power make love groan say err dare bold although swear alon sure fals swear thousand groan think thi face one anoth neck wit bear thi black fairest judgment place noth art thou black save thi deed thenc slander think proce
sonnet cxxxii	thine eye love piti know thi heart torment disdain put black love mourner look pretti ruth upon pain truli morn sun heaven better becom grey cheek east full star usher even doth half glori sober west two mourn eye becom thi face o let well beseem thi heart mourn sinc mourn doth thee grace suit thi piti like everi part swear beauti black foul thi complexion lack
sonnet cxxxiii	beshrew heart make heart groan deep wound give friend ist enough tortur alon slave slaveri sweetst friend must thi cruel eye hath taken next self thou harder hast engrossd thee forsaken ; torment thrice threefold thu crossd prison heart thi steel bosom ward friend heart let poor heart bail ; whoeer keep let heart guard ; thou canst use rigor gaol yet thou wilt ; pent thee perforc thine
sonnet cxxxiv	confessd thine mortgag thi ill forfeit mine thou wilt restor comfort still thou wilt free thou art covet kind ; learnd sureti - like write bond fast doth bind statut thi beauti thou wilt take thou usur putst forth use sue friend came debtor sake ; lose unkind abus lost ; thou hast pay whole yet free
sonnet cxxxv	whoever hath wish thou hast thi boot overplu ; enough vex thee still thi sweet make addit thu wilt thou whose larg spaciou vouchsaf hide thine shall other seem right graciou fair accept shine sea water yet receiv rain still abund addeth store ; thou rich add thi one mine make thi larg let unkind fair beseech kill ; think one one
sonnet cxxxvi	thi soul chequ thee come near swear thi blind soul thi thi soul know admit ; thu far love love - suit sweet fulfil fulfil treasur thi love ay fill full will one thing great receipt eas prove among number one reckond none number let pass untold though thi store account one must ; noth hold pleas thee hold noth someth sweet thee make name thi love love still thou lovest name
sonnet cxxxvii	thou blind fool love dost thou mine eye behold see see know beauti see lie yet best take worst eye corrupt - partial look anchord bay men ride eye falsehood hast thou forg hook whereto judgment heart tie heart think sever plot heart know wide world common place mine eye see say put fair truth upon foul face thing right true heart eye er fals plagu transferrd
sonnet cxxxviii	love swear made truth believ though know lie might think untutord youth unlearn world fals subtleti thu vainli think think young although know day past best simpli credit fals speak tongu side thu simpl truth suppressd wherefor say unjust wherefor say old o love best habit seem trust age love love year told therefor lie fault lie flatterd
sonnet cxxxix	o call justifi wrong thi unkind lay upon heart ; wound thine eye thi tongu ; use power power slay art tell thou lovest elsewher sight dear heart forbear glanc thine eye asid needst thou wound cun thi might oer - pressd defens bide let excus thee ah love well know pretti look mine enemi therefor face turn foe elsewher might dart injuri yet ; sinc near slain kill outright look rid pain
sonnet cxl	wise thou art cruel ; press tongu - tie patienc much disdain ; lest sorrow lend word word express manner piti - want pain might teach thee wit better though love yet love tell ; testi sick men death near news health physician know ; despair grow mad mad might speak ill thee ill - wrest world grown bad mad slander mad ear believ may thou beli bear thine eye straight though thi proud heart go wide
sonnet cxli	faith love thee mine eye thee thousand error note ; ti heart love despis despit view pleas dote ; mine ear thi tongu tune delight tender feel base touch prone tast smell desir invit sensual feast thee alon five wit five sens dissuad one foolish heart serv thee leav unswayd like man thi proud heart slave vassal wretch plagu thu far count gain make sin award pain
sonnet cxlii	love sin thi dear virtu hate hate sin ground sin love o mine compar thou thine state thou shalt find merit reprov ; lip thine profan scarlet ornament seald fals bond love oft mine robbd other bed revenu rent law love thee thou lovest thine eye woo mine importun thee root piti thi heart grow thi piti may deserv piti thou dost seek thou dost hide self - exampl mayst thou deni
sonnet cxliii	lo care housewif run catch one featherd creatur broke away set babe make swift dispatch pursuit thing would stay whilst neglect child hold chase cri catch whose busi care bent follow fli face prize poor infant discont ; runnst thou fli thee whilst thi babe chase thee afar behind ; thou catch thi hope turn back play mother part kiss kind pray thou mayst thi thou turn back loud cri still
sonnet cxliv	two love comfort despair like two spirit suggest still better angel man right fair worser spirit woman colourd ill win soon hell femal evil tempteth better angel side would corrupt saint devil woo puriti foul pride whether angel turnd fiend suspect may directli tell ; friend guess one angel anoth hell yet shall neer know live doubt till bad angel fire good one
sonnet cxlv	lip love hand make breath forth sound said hate languishd sake ; saw woeful state straight heart merci come chide tongu ever sweet use give gentl doom taught thu anew greet hate alterd end followd gentl day doth follow night like fiend heaven hell flown away ; hate hate away threw save life say
sonnet cxlvi	poor soul centr sin earth [ ] rebel power thee array ; dost thou pine within suffer dearth paint thi outward wall costli gay larg cost short leas dost thou upon thi fade mansion spend shall worm inheritor excess eat thi charg thi bodi end soul live thou upon thi servant loss let pine aggrav thi store ; buy term divin sell hour dross ; within fed without rich shalt thou feed death feed men death dead there die
sonnet cxlvii	love fever long still longer nurseth diseas feed doth preserv ill uncertain sickli appetit pleas reason physician love angri prescript kept hath left desper approv desir death physic except past cure reason past care frantic - mad evermor unrest ; thought discours madmen random truth vainli expressd ; sworn thee fair thought thee bright art black hell dark night
sonnet cxlviii	o eye hath love put head correspond true sight judgment fled censur fals see aright fair whereon fals eye dote mean world say love doth well denot love eye true men o love eye true vexd watch tear marvel though mistak view ; sun see till heaven clear o cun love tear thou keepst blind lest eye well - see thi foul fault find
sonnet cxlix	canst thou o cruel say love thee thee partak think thee forgot tyrant thi sake hateth thee call friend frownst thou fawn upon nay thou lourst spend reveng upon present moan merit respect proud thi servic despis best doth worship thi defect command motion thine eye love hate know thi mind ; see thou lovest blind
sonnet cl	o power hast thou power might insuffici heart sway make give lie true sight swear bright doth grace day whenc hast thou becom thing ill refus thi deed strength warrant skill mind thi worst best exce taught thee make love thee hear see caus hate o though love other abhor other thou shouldst abhor state thi unworthi rais love worthi belov thee
sonnet cli	love young know conscienc ; yet know conscienc born love gentl cheater urg amiss lest guilti fault thi sweet self prove thou betray betray nobler part gross bodi treason ; soul doth tell bodi may triumph love ; flesh stay father reason ; rise thi name doth point thee triumphant prize proud pride content thi poor drudg stand thi affair fall thi side want conscienc hold call love whose dear love rise fall
sonnet clii	love thee thou knowst forsworn thou art twice forsworn love swear act thi bed - vow broke new faith torn vow new hate new love bear two oath breach accus thee break twenti perjur ; vow oath misus thee honest faith thee lost sworn deep oath thi deep kind oath thi love thi truth thi constanc enlighten thee gave eye blind made swear thing see ; sworn thee fair ; perjur swear truth foul lie
sonnet cliii	cupid laid brand fell asleep maid dian advantag found love - kindl fire quickli steep cold valley - fountain ground ; borrowd holi fire love dateless live heat still endur grew seeth bath yet men prove strang maladi sovereign cure mistress eye love brand new - fire boy trial need would touch breast ; sick withal help bath desir thither hie sad distemperd guest found cure bath help lie cupid got new fire -- mistress eye
sonnet cliv	littl love - god lie asleep laid side heart - inflam brand whilst mani nymph vowd chast life keep came trip ; maiden hand fairest votari took fire mani legion true heart warmd ; gener hot desir sleep virgin hand disarmd brand quench cool well love fire took heat perpetu grow bath health remedi men diseas ; mistress thrall came cure prove love fire heat water water cool love
a lover's complaint	hill whose concav womb reword plaint stori sister vale spirit attend doubl voic accord laid list sad - tune tale ; ere long espi fickl maid full pale tear paper break ring - twain storm world sorrow wind rain
a lover's complaint	upon head plat hive straw fortifi visag sun whereon thought might think sometim saw carcass beauti spent done time scyth youth begun youth quit ; spite heaven fell rage beauti peepd lattic seard age
a lover's complaint	oft heav napkin eyn conceit charact launder silken figur brine seasond woe pellet tear often read content bear ; often shriek undistinguishd woe clamour size high low
a lover's complaint	sometim levelld eye carriag ride batteri sphere intend ; sometim divert poor ball tie orb earth ; sometim extend view right ; anon gaze lend everi place nowher fixd mind sight distractedli commixd
a lover's complaint	hair loos tie formal plat proclaimd careless hand pride untuckd descend sheav hat hang pale pine cheek besid ; threaden fillet still bide true bondag would break thenc though slackli braid loos neglig
a lover's complaint	thousand favour maund drew amber crystal bead jet one one river threw upon whose weep margent set ; like usuri appli wet wet monarch hand let bounti fall want cri excess beg
a lover's complaint	fold schedul mani one perus sighd tore gave flood ; crackd mani ring posi gold bone bid find sepulchr mud ; found yet moe letter sadli pennd blood sleid silk feat affectedli enswath seald curiou secreci
a lover's complaint	often bath fluxiv eye often kissd often gan tear cri o fals blood thou regist lie unapprov wit dost thou bear ink would seemd black damn said top rage line rent big discont break content
a lover's complaint	reverend man graze cattl nigh -- sometim bluster ruffl knew court citi let go swiftest hour observ flew -- toward afflict fanci fastli drew privileg age desir know brief ground motiv woe
a lover's complaint	slide upon grain bat come - distant sit side ; desir sat grievanc hear divid may aught appli may suffer ecstasi assuag ti promis chariti age
a lover's complaint	father say though behold injuri mani blast hour let tell judgment old ; age sorrow hath power might yet spread flower fresh self - appli love love besid
a lover's complaint	woe earli attend youth suit -- gain grace -- one natur outward commend maiden eye stuck face love lackd dwell made place ; fair part abid new lodg newli deifi
a lover's complaint	browni lock hang crook curl ; everi light occas wind upon lip silken parcel hurl what sweet aptli find eye saw enchant mind visag littl drawn larg think paradis sawn
a lover's complaint	small show man yet upon chin ; phoenix began appear like unshorn velvet termless skin whose bare - braggd web seemd wear yet showd visag cost dear ; nice affect waver stood doubt best best without
a lover's complaint	qualiti beauteou form maiden - tongu thereof free ; yet men move storm oft twixt may april see wind breath sweet untidi though rude author youth liveri fals pride truth
a lover's complaint	well could ride often men would say hors mettl rider take proud subject nobl sway round bound cours stop make controversi henc question take whether hors becam deed manag well - steed
a lover's complaint	quickli side verdict went real habitud gave life grace appertain ornament accomplishd case aid made fairer place came addit ; yet purpos trim piec grace grace
a lover's complaint	tip subdu tongu kind argument question deep replic prompt reason strong advantag still wake sleep make weeper laugh laugher weep dialect differ skill catch passion craft
a lover's complaint	gener bosom reign young old ; sex enchant dwell thought remain person duti follow haunt consent bewitchd ere desir grant ; dialogu would say askd will made will obey
a lover's complaint	mani pictur get serv eye put mind ; like fool th imagin set goodli object abroad find land mansion thought assignd ; labour moe pleasur bestow true gouti landlord doth owe
a lover's complaint	mani never touchd hand sweetli suppos mistress heart woeful self freedom stand fee - simpl part art youth youth art threw affect charm power reserv stalk gave flower
a lover's complaint	yet equal demand desir yield ; find honour forbid safest distanc mine honour shield experi mani bulwark build proof new - bleed remaind foil fals jewel amor spoil
a lover's complaint	ah ever shunnd preced destin ill must assay forc exampl gainst content put - past peril way counsel may stop awhil stay ; rage advic often seen blunt us make wit keen
a lover's complaint	give satisfact blood must curb upon other proof ; forbod sweet seem good fear harm preach behoof o appetit judgment stand aloof one palat hath need tast though reason weep cri thi last
a lover's complaint	could say man untru knew pattern foul beguil ; heard plant other orchard grew saw deceit gild smile ; knew vow ever broker defil ; thought charact word mere art bastard foul adulter heart
a lover's complaint	long upon term held citi till thu gan besieg gentl maid suffer youth feel piti holi vow afraid that ye sworn none ever said ; feast love calld unto till neer invit never woo
a lover's complaint	offenc abroad see error blood none mind ; love made actur may neither parti true kind sought shame shame find ; much less shame remain much reproach contain
a lover's complaint	among mani mine eye seen one whose flame heart much warmd affect put smallest teen leisur ever charmd harm done neer harmd ; kept heart liveri mine free reignd command monarchi
a lover's complaint	look tribut wound fanci sent pale pearl rubi red blood ; figur passion likewis lent grief blush aptli understood bloodless white encrimsond mood ; effect terror dear modesti encampd heart fight outwardli
a lover's complaint	lo behold talent hair twist metal amor impleachd receiv mani sever fair kind accept weepingli beseechd annexion fair gem enrichd deep - braind sonnet amplifi stone dear natur worth qualiti
a lover's complaint	diamond -- twa beauti hard whereto invis properti tend ; deep - green emerald whose fresh regard weak sight sickli radianc amend ; heaven - hu sapphir opal blend object manifold sever stone wit well blazond smile made moan
a lover's complaint	lo trophi affect hot pensiv subdu desir tender natur hath charg hoard yield must render origin ender ; forc must oblat sinc altar enpatron
a lover's complaint	o advanc phraseless hand whose white weigh airi scale prais ; take simil command hallowd sigh burn lung rais ; minist obey work ; audit come distract parcel combin sum
a lover's complaint	lo devic sent nun sister sanctifi holiest note ; late nobl suit court shun whose rarest have made blossom dote ; sought spirit richest coat kept cold distanc thenc remov spend live etern love
a lover's complaint	o sweet labour ist leav thing master strive play place form receiv play patient sport unconstrain gyve fame contriv scar battl scapeth flight make absenc valiant might
a lover's complaint	o pardon boast true accid brought eye upon moment forc subdu would cage cloister fli religi love put religion eye tempt would immur tempt liberti procur
a lover's complaint	mighti o hear tell broken bosom belong empti fountain well mine pour ocean among strong oer oer strong must victori us congest compound love physic cold breast
a lover's complaint	part power charm sacr nun disciplin ay diet grace believ eye assail begun vow consecr give place o potenti love vow bond space thee hath neither sting knot confin thou art thing els thine
a lover's complaint	thou impressest precept worth stale exampl thou wilt inflam coldli impedi stand forth wealth filial fear law kindr fame love arm peac gainst rule gainst sens gainst shame sweeten suffer pang bear alo forc shock fear
a lover's complaint	heart mine depend feel break bleed groan pine ; supplic sigh extend leav batteri make gainst mine lend soft audienc sweet design credent soul strong - bond oath shall prefer undertak troth
a lover's complaint	said wateri eye dismount whose sight till levelld face ; cheek river run fount brinish current downward flowd apac o channel stream gave grace glaze crystal gate glow rose flame water hue enclos
a lover's complaint	o father hell witchcraft lie small orb one particular tear inund eye rocki heart water wear breast cold warm o cleft effect cold modesti hot wrath fire henc chill extinctur hath
a lover's complaint	lo passion art craft even resolv reason tear ; white stole chastiti daffd shook sober guard civil fear ; appear appear melt ; though drop differ bore poisond mine restor
a lover's complaint	plenitud subtl matter appli cautel strang form receiv burn blush weep water swoon pale ; take leav either apt best deceiv blush speech rank weep woe turn white swoon tragic show
a lover's complaint	heart level came could scape hail - hurt aim show fair natur kind tame ; veild win would maim thing sought would exclaim ; burnd heart - wishd luxuri preachd pure maid prais cold chastiti
a lover's complaint	thu mere garment grace nake conceal fiend coverd ; th unexperi gave tempter place like cherubin hoverd young simpl would loverd ay fell ; yet question make sake
a lover's complaint	o infect moistur eye o fals fire cheek glowd o forc thunder heart fli o sad breath spongi lung bestowd o borrowd motion seem owe would yet betray fore - betrayd new pervert reconcil maid
the rape of lucrece	besieg ardea post born trustless wing fals desir lust - breath tarquin leav roman host collatium bear lightless fire pale ember hid lurk aspir girdl embrac flame waist collatin fair love lucrec chast
the rape of lucrece	hapli name chast unhappili set bateless edg keen appetit ; collatin unwis let prais clear unmatch red white triumphd sky delight mortal star bright heaven beauti pure aspect peculiar duti
the rape of lucrece	night tarquin tent unlockd treasur happi state ; priceless wealth heaven lent possess beauteou mate ; reckon fortun high - proud rate king might espous fame king peer peerless dame
the rape of lucrece	o happi enjoyd possessd soon decayd done morn silver - melt dew golden splendor sun expir date cancelld ere well begun honour beauti owner arm weakli fortressd world harm
the rape of lucrece	beauti doth persuad eye men without orat ; needeth apolog made set forth singular collatin publish rich jewel keep unknown thievish ear
the rape of lucrece	perchanc boast lucrec sovereignti suggest proud issu king ; ear heart oft taint perchanc envi rich thing brave compar disdain sting high - pitchd thought meaner men vaunt golden hap superior want
the rape of lucrece	untim thought instig - - timeless speed none honour affair friend state neglect swift intent goe quench coal liver glow o rash fals heat wrappd repent cold thi hasti spring still blast neer grow old
the rape of lucrece	collatium fals lord arriv well welcom roman dame within whose face beauti virtu strive underprop fame virtu braggd beauti would blush shame ; beauti boast blush despit virtu would stain oer silver white
the rape of lucrece	beauti white intitul venu dove doth challeng fair field virtu claim beauti beauti red virtu gave golden age gild silver cheek calld shield ; teach thu use fight shame assaild red fenc white
the rape of lucrece	heraldri lucrec face seen argu beauti red virtu white either colour queen prove world minor right yet ambit make still fight ; sovereignti either great oft interchang other seat
the rape of lucrece	silent war lili rose tarquin viewd fair face field pure rank traitor eye enclos ; lest killd coward captiv vanquish doth yield two armi would let go rather triumph fals foe
the rape of lucrece	think husband shallow tongu -- niggard prodig prais -- high task hath done beauti wrong far exce barren skill show therefor prais collatin doth owe enchant tarquin answer surmis silent wonder still - gaze eye
the rape of lucrece	earthli saint ador devil littl suspecteth fals worshipp ; unstaind thought seldom dream evil ; bird never lime secret bush fear guiltless secur give good cheer reverend welcom princ guest whose inward ill outward harm expressd
the rape of lucrece	colourd high estat hide base sin plait majesti ; noth seemd inordin save someth much wonder eye could satisfi ; poorli rich wanteth store cloyd much pineth still
the rape of lucrece	never cope stranger eye could pick mean parl look read subtl - shine secreci writ glassi margent book touchd unknown bait feard hook ; could moral wanton sight eye opend light
the rape of lucrece	stori ear husband fame won field fruit itali ; deck prais collatin high name made gloriou manli chivalri bruis arm wreath victori joy heav - hand doth express wordless greet heaven success
the rape of lucrece	far purpos come hither make excus cloudi show stormi bluster weather doth yet fair welkin appear ; till sabl night mother dread fear upon world dim dark doth display vaulti prison stow day
the rape of lucrece	tarquin brought unto bed intend weari heavi spright ; supper long question modest lucrec wore night leaden slumber life strength doth fight ; everi one rest betak save thiev care troubl mind wake
the rape of lucrece	one doth tarquin lie revolv sundri danger will obtain ; yet ever obtain resolv though weak - built hope persuad abstain despair gain doth traffic oft gain ; great treasur meed propos though death adjunct there death suppos
the rape of lucrece	much covet gain fond possess scatter unloos bond hope less ; gain profit excess surfeit grief sustain prove bankrupt poor - rich gain
the rape of lucrece	aim nurs life honour wealth eas wane age ; aim thwart strife one one gage ; life honour fell battl rage ; honour wealth ; oft wealth doth cost death togeth lost
the rape of lucrece	ventur ill leav thing expect ; ambiti foul infirm much torment us defect neglect thing ; want wit make someth noth augment
the rape of lucrece	hazard must dote tarquin make pawn honour obtain lust ; must forsak truth self - trust shall think find stranger confound betray slander tongu wretch hate day
the rape of lucrece	stole upon time dead night heavi sleep close mortal eye comfort star lend light nois owl wolv death - bode cri ; serv season may surpris silli lamb pure thought dead still lust murder wake stain kill
the rape of lucrece	lust lord leapd bed throw mantl rude oer arm ; madli tossd desir dread ; th one sweetli flatter th feareth harm ; honest fear bewitchd lust foul charm doth oft betak retir beaten away brain - sick rude desir
the rape of lucrece	falchion flint softli smiteth cold stone spark fire fli ; whereat waxen torch forthwith lighteth must lode - star lust eye ; flame thu speak advisedli cold flint enforc fire lucrec must forc desir
the rape of lucrece	pale fear doth premedit danger loathsom enterpris inward mind doth debat follow sorrow may aris look scorn doth despis nake armour still - slaughterd lust justli thu control thought unjust
the rape of lucrece	fair torch burn thi light lend darken whose light excelleth thine die unhallowd thought blot unclean divin ; offer pure incens pure shrine let fair human abhor deed spot stain love modest snow - white weed
the rape of lucrece	o shame knighthood shine arm o foul dishonour household grave o impiou act includ foul harm martial man soft fanci slave true valour still true respect ; digress vile base live engraven face
the rape of lucrece	yea though die scandal surviv eye - sore golden coat ; loathsom dash herald contriv cipher fondli dote ; poster shame note shall curs bone hold sin wish father bin
the rape of lucrece	win gain thing seek dream breath froth fleet joy buy minut mirth wail week sell etern get toy one sweet grape vine destroy fond beggar touch crown would sceptr straight strucken
the rape of lucrece	collatinu dream intent wake desper rage post hither vile purpos prevent sieg hath engirt marriag blur youth sorrow sage die virtu surviv shame whose crime bear ever - blame
the rape of lucrece	o excus invent make thou shalt charg black deed tongu mute frail joint shake mine eye forego light fals heart bleed guilt great fear doth still exceed ; extrem fear neither fight fli coward - like trembl terror die
the rape of lucrece	collatinu killd son sire lain ambush betray life dear friend desir might excus work upon wife reveng quittal strife kinsman dear friend shame fault find excus end
the rape of lucrece	shame ; ay fact known hate ; hate love ill beg love ; worst denial reprov strong past reason weak remov fear sentenc old man saw shall paint cloth kept awe
the rape of lucrece	thu graceless hold disput tween frozen conscienc hot - burn good thought make dispens urg worser sens vantag still ; moment doth confound kill pure effect doth far proceed vile show like virtuou deed
the rape of lucrece	quoth took kindli hand gaze tide eager eye fear hard news warlik band belov collatinu lie o fear make colour rise first red rose lawn lay white lawn rose took away
the rape of lucrece	hand hand lockd forc trembl loyal fear struck sad faster rockd husband welfar hear ; whereat smile sweet cheer narcissu seen stood self - love never drownd flood
the rape of lucrece	hunt colour excus orat dumb beauti pleadeth ; poor wretch remors poor abus ; love thrive heart shadow dreadeth affect captain leadeth ; gaudi banner displayd coward fight dismayd
the rape of lucrece	childish fear avaunt debat die respect reason wait wrinkl age heart shall never countermand mine eye sad paus deep regard beseem sage ; part youth beat stage desir pilot beauti prize ; fear sink treasur lie
the rape of lucrece	corn oergrown weed heed fear almost choke unresist lust away steal open listen ear full foul hope full fond mistrust ; servitor unjust cross opposit persuas vow leagu invas
